=== MAX–MIN FAIRNESS (CLASSICAL) FOR RIDESHARE ===
Drivers: 100, Riders: 500, Graph nodes: 156, edges: 410
Phase 1 (max-min) optimal min_load z*: 0
Phase 1 load per driver: d1:0, d2:0, d3:0, d4:0, d5:0, d6:0, d7:0, d8:0, d9:0, d10:0, d11:0, d12:0, d13:0, d14:0, d15:0, d16:0, d17:0, d18:0, d19:0, d20:0, d21:0, d22:0, d23:0, d24:0, d25:0, d26:0, d27:0, d28:0, d29:0, d30:0, d31:0, d32:0, d33:0, d34:0, d35:0, d36:0, d37:0, d38:0, d39:0, d40:0, d41:0, d42:0, d43:0, d44:0, d45:0, d46:0, d47:0, d48:0, d49:0, d50:0, d51:0, d52:0, d53:0, d54:0, d55:0, d56:0, d57:0, d58:0, d59:0, d60:0, d61:0, d62:0, d63:0, d64:0, d65:0, d66:0, d67:0, d68:0, d69:0, d70:0, d71:0, d72:0, d73:0, d74:0, d75:0, d76:0, d77:0, d78:0, d79:0, d80:0, d81:0, d82:0, d83:0, d84:0, d85:0, d86:0, d87:0, d88:0, d89:0, d90:0, d91:0, d92:0, d93:0, d94:0, d95:0, d96:0, d97:0, d98:0, d99:0, d100:0
Phase 2 (efficiency under fairness) optimal.

=== FINAL RESULTS ===
Min driver load (z): 0
Total riders assigned: 345

Assignments:
 Rider r1 -> Driver d25
 Rider r2 -> Driver d3
 Rider r3 -> Driver d58
 Rider r4 -> Driver d38
 Rider r5 -> Driver d28
 Rider r6 -> Driver d87
 Rider r7 -> Driver d73
 Rider r8 -> Driver d17
 Rider r9 -> Driver d74
 Rider r10 -> Driver d51
 Rider r11 -> Driver d45
 Rider r12 -> Driver d86
 Rider r13 -> Driver d59
 Rider r14 -> Driver d70
 Rider r15 -> Driver d3
 Rider r16 -> Driver d59
 Rider r17 -> Driver d3
 Rider r18 -> Driver d30
 Rider r19 -> Driver d45
 Rider r20 -> Driver d29
 Rider r21 -> Driver None
 Rider r22 -> Driver d3
 Rider r23 -> Driver d5
 Rider r24 -> Driver d16
 Rider r25 -> Driver d84
 Rider r26 -> Driver d86
 Rider r27 -> Driver d45
 Rider r28 -> Driver d29
 Rider r29 -> Driver d28
 Rider r30 -> Driver d28
 Rider r31 -> Driver d57
 Rider r32 -> Driver d72
 Rider r33 -> Driver d20
 Rider r34 -> Driver d37
 Rider r35 -> Driver d70
 Rider r36 -> Driver d95
 Rider r37 -> Driver d45
 Rider r38 -> Driver None
 Rider r39 -> Driver d98
 Rider r40 -> Driver d17
 Rider r41 -> Driver d28
 Rider r42 -> Driver d100
 Rider r43 -> Driver d77
 Rider r44 -> Driver d10
 Rider r45 -> Driver d52
 Rider r46 -> Driver d3
 Rider r47 -> Driver None
 Rider r48 -> Driver d14
 Rider r49 -> Driver d48
 Rider r50 -> Driver d95
 Rider r51 -> Driver d9
 Rider r52 -> Driver None
 Rider r53 -> Driver d93
 Rider r54 -> Driver d9
 Rider r55 -> Driver d9
 Rider r56 -> Driver d23
 Rider r57 -> Driver d20
 Rider r58 -> Driver d98
 Rider r59 -> Driver d95
 Rider r60 -> Driver None
 Rider r61 -> Driver d98
 Rider r62 -> Driver d95
 Rider r63 -> Driver d45
 Rider r64 -> Driver d9
 Rider r65 -> Driver None
 Rider r66 -> Driver d72
 Rider r67 -> Driver d28
 Rider r68 -> Driver d68
 Rider r69 -> Driver d93
 Rider r70 -> Driver None
 Rider r71 -> Driver d42
 Rider r72 -> Driver d63
 Rider r73 -> Driver d80
 Rider r74 -> Driver d30
 Rider r75 -> Driver d73
 Rider r76 -> Driver d29
 Rider r77 -> Driver d9
 Rider r78 -> Driver d56
 Rider r79 -> Driver d7
 Rider r80 -> Driver d15
 Rider r81 -> Driver d55
 Rider r82 -> Driver d30
 Rider r83 -> Driver d68
 Rider r84 -> Driver d65
 Rider r85 -> Driver d96
 Rider r86 -> Driver d6
 Rider r87 -> Driver d6
 Rider r88 -> Driver None
 Rider r89 -> Driver d86
 Rider r90 -> Driver d86
 Rider r91 -> Driver d87
 Rider r92 -> Driver d89
 Rider r93 -> Driver None
 Rider r94 -> Driver d43
 Rider r95 -> Driver d68
 Rider r96 -> Driver None
 Rider r97 -> Driver d30
 Rider r98 -> Driver d18
 Rider r99 -> Driver d42
 Rider r100 -> Driver d66
 Rider r101 -> Driver d84
 Rider r102 -> Driver d48
 Rider r103 -> Driver d29
 Rider r104 -> Driver None
 Rider r105 -> Driver None
 Rider r106 -> Driver d16
 Rider r107 -> Driver d78
 Rider r108 -> Driver d80
 Rider r109 -> Driver None
 Rider r110 -> Driver d39
 Rider r111 -> Driver d56
 Rider r112 -> Driver None
 Rider r113 -> Driver d97
 Rider r114 -> Driver d89
 Rider r115 -> Driver d5
 Rider r116 -> Driver d8
 Rider r117 -> Driver d57
 Rider r118 -> Driver None
 Rider r119 -> Driver d8
 Rider r120 -> Driver None
 Rider r121 -> Driver None
 Rider r122 -> Driver d15
 Rider r123 -> Driver d78
 Rider r124 -> Driver d61
 Rider r125 -> Driver d46
 Rider r126 -> Driver d10
 Rider r127 -> Driver None
 Rider r128 -> Driver None
 Rider r129 -> Driver d49
 Rider r130 -> Driver None
 Rider r131 -> Driver d85
 Rider r132 -> Driver d8
 Rider r133 -> Driver d32
 Rider r134 -> Driver d89
 Rider r135 -> Driver None
 Rider r136 -> Driver d6
 Rider r137 -> Driver d40
 Rider r138 -> Driver None
 Rider r139 -> Driver None
 Rider r140 -> Driver None
 Rider r141 -> Driver None
 Rider r142 -> Driver d15
 Rider r143 -> Driver d75
 Rider r144 -> Driver d49
 Rider r145 -> Driver d25
 Rider r146 -> Driver d46
 Rider r147 -> Driver None
 Rider r148 -> Driver None
 Rider r149 -> Driver None
 Rider r150 -> Driver None
 Rider r151 -> Driver d22
 Rider r152 -> Driver d23
 Rider r153 -> Driver None
 Rider r154 -> Driver d43
 Rider r155 -> Driver None
 Rider r156 -> Driver None
 Rider r157 -> Driver d48
 Rider r158 -> Driver None
 Rider r159 -> Driver d57
 Rider r160 -> Driver d74
 Rider r161 -> Driver d73
 Rider r162 -> Driver None
 Rider r163 -> Driver d40
 Rider r164 -> Driver None
 Rider r165 -> Driver d6
 Rider r166 -> Driver None
 Rider r167 -> Driver d78
 Rider r168 -> Driver d46
 Rider r169 -> Driver d89
 Rider r170 -> Driver d6
 Rider r171 -> Driver None
 Rider r172 -> Driver None
 Rider r173 -> Driver d51
 Rider r174 -> Driver d60
 Rider r175 -> Driver d93
 Rider r176 -> Driver None
 Rider r177 -> Driver None
 Rider r178 -> Driver d34
 Rider r179 -> Driver None
 Rider r180 -> Driver None
 Rider r181 -> Driver None
 Rider r182 -> Driver d40
 Rider r183 -> Driver d42
 Rider r184 -> Driver d57
 Rider r185 -> Driver None
 Rider r186 -> Driver d85
 Rider r187 -> Driver d42
 Rider r188 -> Driver None
 Rider r189 -> Driver d43
 Rider r190 -> Driver d51
 Rider r191 -> Driver d43
 Rider r192 -> Driver d20
 Rider r193 -> Driver None
 Rider r194 -> Driver None
 Rider r195 -> Driver None
 Rider r196 -> Driver None
 Rider r197 -> Driver d80
 Rider r198 -> Driver None
 Rider r199 -> Driver None
 Rider r200 -> Driver d56
